Player,Team,Age,GP,G,Freq,FGM,FGA,FG%,eFG%,2FG Freq,2FGM,2FGA,2FG%,3FG Freq,3PM,3PA,3P%
Pablo Prigioni,HOU,38,17,17,100%,1.1,3.4,33.3,43.9,28.10%,0.4,0.9,43.8,71.90%,0.7,2.4,29.3
Pero Antic,ATL,32,15,13,100%,1.1,3.3,32,43,36.00%,0.3,1.2,27.8,64.00%,0.7,2.1,34.4
Mike Muscala,ATL,23,10,10,100%,2,3.3,60.6,63.6,75.80%,1.8,2.5,72,24.20%,0.2,0.8,25
Kelly Olynyk,BOS,24,4,3,100%,1.8,3.3,53.8,65.4,53.80%,1,1.8,57.1,46.20%,0.8,1.5,50
David Lee,GSW,32,13,11,100%,1.2,3.1,40,40,100%,1.2,3.1,40,0.00%,0,0,-
Robin Lopez,POR,27,5,5,100%,1.8,3,60,60,100%,1.8,3,60,0.00%,0,0,-
James Johnson,TOR,28,2,2,100%,1,3,33.3,33.3,100%,1,3,33.3,0.00%,0,0,-
Kosta Koufos,MEM,26,11,10,100%,1.6,2.8,54.8,54.8,100%,1.6,2.8,54.8,0.00%,0,0,-
Dante Cunningham,NOP,28,4,4,100%,2.3,2.8,81.8,81.8,100%,2.3,2.8,81.8,0.00%,0,0,-
Glen Davis,LAC,29,14,14,100%,1.2,2.7,44.7,44.7,97.40%,1.2,2.6,45.9,2.60%,0,0.1,0
Chris Kaman,POR,33,3,2,100%,1.3,2.7,50,50,100%,1.3,2.7,50,0.00%,0,0,-
Allen Crabbe,POR,23,2,2,100%,2,2.5,80,100,60.00%,1,1.5,66.7,40.00%,1,1,100
Festus Ezeli,GSW,25,20,15,100%,1.4,2.5,54,54,100%,1.4,2.5,54,0.00%,0,0,-
Markel Brown,BKN,23,2,2,100%,1,2.5,40,40,60.00%,1,1.5,66.7,40.00%,0,1,0
Aron Baynes,SAS,28,4,3,100%,0.8,2.5,30,30,100%,0.8,2.5,30,0.00%,0,0,-
Omer Asik,NOP,28,4,4,100%,0.5,2.5,20,20,100%,0.5,2.5,20,0.00%,0,0,-
Nazr Mohammed,CHI,37,3,3,100%,0.7,2.3,28.6,28.6,85.70%,0.7,2,33.3,14.30%,0,0.3,0
Steve Blake,POR,35,5,4,100%,0.4,2.2,18.2,22.7,27.30%,0.2,0.6,33.3,72.70%,0.2,1.6,12.5
Spencer Hawes,LAC,27,8,5,100%,1.1,2.1,52.9,61.8,64.70%,0.8,1.4,54.5,35.30%,0.4,0.8,50
Greg Stiemsma,TOR,29,1,1,100%,2,2,100,100,100%,2,2,100,0.00%,0,0,-
Jorge Gutierrez,MIL,26,1,1,100%,1,2,50,50,100%,1,2,50,0.00%,0,0,-
Martell Webster,WAS,28,1,1,100%,1,2,50,50,50.00%,1,1,100,50.00%,0,1,0
Lester Hudson,LAC,30,7,6,100%,0.9,2,42.9,50,50.00%,0.6,1,57.1,50.00%,0.3,1,28.6
E'Twaun Moore,CHI,26,3,3,100%,0.7,2,33.3,41.7,83.30%,0.3,1.7,20,16.70%,0.3,0.3,100
